day,date,theme,seoFocus,path,imageUrl,caption
1,2026-08-12,crear-ruta,crear ruta bicicleta,/crear-ruta-bicicleta,https://pedalmap.es/social/pedalmap-post-crear-ruta.jpg,"Crea tu próxima ruta en bici en minutos.
Mapa · desnivel · superficie · viento.

Empieza Free → https://pedalmap.es/crear-ruta-bicicleta
#ciclismo #bici #rutas #pedalmap #españa"
2,2026-08-13,gpx-garmin,crear ruta GPX Garmin,/blog/exportar-gpx-garmin,https://pedalmap.es/social/pedalmap-post-gpx-garmin.jpg,"GPX de PedalMap → Garmin Connect → Edge.
Planifica con desnivel real antes de salir.

Guía: https://pedalmap.es/blog/exportar-gpx-garmin
#garmin #gpx #ciclismo #pedalmap"
3,2026-08-14,wahoo,pasar ruta Wahoo,/blog/pasar-ruta-wahoo,https://pedalmap.es/social/pedalmap-post-viento.jpg,"¿Wahoo ELEMNT?
Misma ruta PedalMap → GPX → app.
Suelo + viento + metros antes del entreno.

https://pedalmap.es/blog/pasar-ruta-wahoo
#wahoo #gpx #ciclismo #pedalmap"
4,2026-08-15,circular,ruta circular bicicleta,/ruta-circular-bicicleta,https://pedalmap.es/social/pedalmap-post-madrid.jpg,"¿Quieres ~60 km y 800 m+ sin destino fijo?
Modo Objetivo = ruta circular.
1 Free/mes · ilimitado en Premium.

https://pedalmap.es/ruta-circular-bicicleta
#entreno #ciclismo #pedalmap"
5,2026-08-16,viento,viento en la ruta bici,/blog/viento-en-la-ruta,https://pedalmap.es/social/pedalmap-post-premium.jpg,"El viento no se ve en Strava hasta que duele.
Míralo relativo a tu ruta antes de salir.

https://pedalmap.es/blog/viento-en-la-ruta
#ciclismo #entreno #pedalmap"
6,2026-08-17,desnivel,calcular desnivel ruta bici,/blog/calcular-desnivel-ruta-bici,https://pedalmap.es/social/pedalmap-reel-cover-gpx.jpg,"Los km mienten. El desnivel no.
Revisa el perfil antes de comprometerte.

https://pedalmap.es/blog/calcular-desnivel-ruta-bici
#ciclismo #desnivel #pedalmap"
7,2026-08-18,ciudad-málaga,rutas bicicleta Málaga,/rutas-bicicleta-malaga,https://pedalmap.es/social/pedalmap-reel-cover-objetivo.jpg,"Rutas de bicicleta en Málaga: traza, mira metros y lleva GPX.

Guía: https://pedalmap.es/rutas-bicicleta-malaga
#malaga #ciclismo #pedalmap"
8,2026-08-19,gravel,planificador rutas gravel,/planificador-rutas-gravel,https://pedalmap.es/social/pedalmap-reel-cover-primera-ruta.jpg,"Gravel ≠ carretera ≠ MTB.
Mismo A→B, distinta bici = distinta ruta.

https://pedalmap.es/planificador-rutas-gravel
#gravel #ciclismo #pedalmap"
9,2026-08-20,mtb,planificador rutas MTB,/planificador-rutas-mtb,https://pedalmap.es/social/pedalmap-post-crear-ruta.jpg,"MTB con desnivel visible y track GPX.
Planifica la sierra antes de improvisar.

https://pedalmap.es/planificador-rutas-mtb
#mtb #ciclismo #pedalmap"
10,2026-08-21,komoot,alternativa Komoot España,/alternativa-komoot,https://pedalmap.es/social/pedalmap-post-gpx-garmin.jpg,"¿Buscas alternativa a Komoot en España para planificar (no scrollear tracks)?
PedalMap: desnivel · viento · GPX · Free.

https://pedalmap.es/alternativa-komoot
#komoot #ciclismo #pedalmap"
11,2026-08-22,perfil-bici,perfil bici carretera gravel MTB,/blog/elegir-perfil-bici,https://pedalmap.es/social/pedalmap-post-viento.jpg,"Carretera, gravel o MTB: el perfil cambia el track.
Elige bien antes de calcular.

https://pedalmap.es/blog/elegir-perfil-bici
#ciclismo #pedalmap"
12,2026-08-23,osmand,GPX OsmAnd Organic Maps,/blog/gpx-osmand-organic-maps,https://pedalmap.es/social/pedalmap-post-madrid.jpg,"Sin Edge: GPX + OsmAnd / Organic Maps.
Misma ruta PedalMap en el móvil.

https://pedalmap.es/blog/gpx-osmand-organic-maps
#osmand #gpx #ciclismo #pedalmap"
13,2026-08-24,primera-ruta,crear ruta bicicleta online,/blog/primera-ruta-pedalmap,https://pedalmap.es/social/pedalmap-post-premium.jpg,"Primera ruta en PedalMap en 5 minutos.
Origen + destino + bici + calcular.

https://pedalmap.es/blog/primera-ruta-pedalmap
#tutorial #ciclismo #pedalmap"
14,2026-08-25,grupeta,compartir ruta grupeta GPX,/blog/compartir-ruta-grupeta,https://pedalmap.es/social/pedalmap-reel-cover-gpx.jpg,"Grupeta sin “¿por dónde vamos?”
Ruta + desnivel + un GPX al chat.

https://pedalmap.es/blog/compartir-ruta-grupeta
#grupeta #ciclismo #pedalmap"
15,2026-08-26,premium,PedalMap Free vs Premium,/blog/free-vs-premium,https://pedalmap.es/social/pedalmap-reel-cover-objetivo.jpg,"Free para probar. Premium cuando entrenas en serio.
Trial 7 días en el plan anual.

https://pedalmap.es/premium
#pedalmap #ciclismo"
16,2026-08-27,evitar-trafico,evitar carreteras ruta bici,/blog/evitar-carreteras-ruta-bici,https://pedalmap.es/social/pedalmap-reel-cover-primera-ruta.jpg,"Menos nacional, más carril.
Ajusta preferencias y recalcula antes de salir.

https://pedalmap.es/blog/evitar-carreteras-ruta-bici
#seguridad #ciclismo #pedalmap"
17,2026-08-28,planificador-es,mejor planificador rutas bici España,/mejor-planificador-rutas-bici,https://pedalmap.es/social/pedalmap-post-crear-ruta.jpg,"Checklist de un buen planificador de rutas bici en España:
perfil · desnivel · viento · GPX.

https://pedalmap.es/mejor-planificador-rutas-bici
#ciclismo #españa #pedalmap"
18,2026-08-29,engagement,planificador rutas bici,/route-planner,https://pedalmap.es/social/pedalmap-post-gpx-garmin.jpg,"¿Garmin, Wahoo o móvil?
Comenta 1️⃣ 2️⃣ 3️⃣
Guías GPX en el perfil 👆 · planificador: https://pedalmap.es/route-planner
#ciclismo #pedalmap"
19,2026-08-30,crear-ruta,crear ruta bicicleta,/crear-ruta-bicicleta,https://pedalmap.es/social/pedalmap-post-viento.jpg,"Crea tu próxima ruta en bici en minutos.
Mapa · desnivel · superficie · viento.

Empieza Free → https://pedalmap.es/crear-ruta-bicicleta
#ciclismo #bici #rutas #pedalmap #españa"
20,2026-08-31,gpx-garmin,crear ruta GPX Garmin,/blog/exportar-gpx-garmin,https://pedalmap.es/social/pedalmap-post-madrid.jpg,"GPX de PedalMap → Garmin Connect → Edge.
Planifica con desnivel real antes de salir.

Guía: https://pedalmap.es/blog/exportar-gpx-garmin
#garmin #gpx #ciclismo #pedalmap"
21,2026-09-01,wahoo,pasar ruta Wahoo,/blog/pasar-ruta-wahoo,https://pedalmap.es/social/pedalmap-post-premium.jpg,"¿Wahoo ELEMNT?
Misma ruta PedalMap → GPX → app.
Suelo + viento + metros antes del entreno.

https://pedalmap.es/blog/pasar-ruta-wahoo
#wahoo #gpx #ciclismo #pedalmap"
